Address,Borough,Geo Address,Id,Lat,Lon,Target
"282 East 149th Street Bronx, NY 10451",bronx,"282 e 149th st, bronx, ny 10451, usa",2438,40.8169203,-73.9222502,0
"224 East 161st Street Bronx, NY 10451",bronx,"224 e 161st st, bronx, ny 10451, usa",2430,40.8243842,-73.9197242,0
"3775 East Tremont Avenue Bronx, NY 10465",bronx,"3775 e tremont ave, bronx, ny 10465, usa",3096,40.8255689,-73.8205401,0
"1688 Westchester Avenue Bronx, NY 10472",bronx,"1688 westchester ave, bronx, ny 10472, usa",8940,40.8301912,-73.8710802,0
"50-56 East 167th Street Bronx, NY 10452",bronx,"50 e 167th st, bronx, ny 10452, usa",8969,40.8353227,-73.9207592,0
"3681 Bruckner Blvd, Corner Of Bruckner Boulevard Bronx, NY 10461",bronx,"3681 bruckner blvd, bronx, ny 10461, usa",2697,40.8524432,-73.8276329,0
"1916 Williamsbridge Road Bronx, NY 10461",bronx,"1916 williamsbridge rd, bronx, ny 10461, usa",7067,40.8529468,-73.8529791,0
"2112 White Plains Road Bronx, NY 10462",bronx,"2112 white plains rd, bronx, ny 10462, usa",2433,40.8538437,-73.8673131,0
"732 Allerton Avenue Bronx, NY 10467",bronx,"732 allerton ave, bronx, ny 10467, usa",2437,40.865197,-73.8658921,0
"3125 Bainbridge Avenue Bronx, NY 10467",bronx,"3125 bainbridge ave, bronx, ny 10467, usa",2551,40.8743967,-73.8796248,0
"565 West 235th Street Bronx, NY 10463",bronx,"565 w 235th st, bronx, ny 10463, usa",7066,40.8860579,-73.9105843,0
"532 Neptune Ave Brooklyn, NY 11224",brooklyn,"532 neptune ave, brooklyn, ny 11224, usa",2428,40.5796567,-73.9743002,0
"2014 Cropsey Avenue Brooklyn, NY 11214",brooklyn,"2014 cropsey ave, brooklyn, ny 11214, usa",5134,40.5996987,-74.0026063,0
"2151 86th Street Brooklyn, NY 11214",brooklyn,"2151 86th st, brooklyn, ny 11214, usa",2441,40.6027171,-73.9945497,0
"8430 New Utrecht Avenue Brooklyn, NY 11214",brooklyn,"8430 new utrecht ave, brooklyn, ny 11214, usa",644,40.6081339,-74.002056,0
"4112 Avenue U, Across From Kings Plaza Mall Brooklyn, NY 11234",brooklyn,"4112 avenue u, brooklyn, ny 11234, usa",2431,40.6085907,-73.9232196,0
"1601 Kings Highway Brooklyn, NY 11229",brooklyn,"1601 kings hwy, brooklyn, ny 11229, usa",10291,40.6095009,-73.9571521,0
"6831 Bay Parkway Brooklyn, NY 11204",brooklyn,"6831 bay pkwy, brooklyn, ny 11204, usa",5847,40.610911,-73.9838175,0
"2925 Kings Highway, Corner Of Nostrand Avenue Brooklyn, NY 11229",brooklyn,"2925 kings hwy, brooklyn, ny 11229, usa",2141,40.6162819,-73.9452586,0
"6502-6510 Eighteenth Avenue Brooklyn, NY 11204",brooklyn,"6502-6510 18th ave, brooklyn, ny 11204, usa",2410,40.6191198,-73.9905785,0
"2320 Ralph Avenue Brooklyn, NY 11234",brooklyn,"2320 ralph ave, brooklyn, ny 11234, usa",802,40.6213139,-73.9178411,0
"6702 Fort Hamilton Parkway Brooklyn, NY 11219",brooklyn,"6702 fort hamilton pkwy, brooklyn, ny 11219, usa",2574,40.6296656,-74.0111837,0
"4901 Kings Highway Brooklyn, NY 11234",brooklyn,"4901 kings hwy, brooklyn, ny 11234, usa",2769,40.6343753,-73.9289096,0
"411 Ditmas Avenue Brooklyn, NY 11218",brooklyn,"411 ditmas ave, brooklyn, ny 11218, usa",2699,40.6362111,-73.9744629,0
"1070 Flatbush Avenue Brooklyn, NY 11226",brooklyn,"1070 flatbush ave, brooklyn, ny 11226, usa",2812,40.6443879,-73.9582541,0
